,entityid,domain,time_of_run,failed,reason_for_failure,file_path
287,63823,www.colorlink.com,2023-06-09 01:44:34,1,ConnectionError,
288,63831,www.colubris.com,2023-06-09 01:44:34,1,ConnectionError,
289,63832,www.colucid.com,2023-06-09 01:44:34,1,ConnectionError,
290,63847,www.clmb.net,2023-06-09 01:44:34,1,ConnectionError,
291,63856,www.com21.com,2023-06-09 01:44:34,1,ConnectionError,
292,63862,www.comanage.net,2023-06-09 01:44:34,1,ConnectionError,
293,63870,www.combinatorx.com,2023-06-09 01:44:34,1,ConnectionError,
294,63875,www.combinenet.com,2023-06-09 01:44:34,1,ConnectionError,
295,63876,www.combinentbiomedical.com,2023-06-09 01:44:34,1,ConnectionError,
296,63883,www.combrio.com,2023-06-09 01:44:34,1,ConnectionError,
297,63890,www.comcore.com,2023-06-09 01:44:34,1,ConnectionError,
298,63896,www.comedicus.com,2023-06-09 01:44:34,1,ConnectionError,
299,63898,www.comedyworld.com,2023-06-09 01:44:34,1,ConnectionError,
300,63903,www.comergent.com,2023-06-09 01:44:34,1,ConnectionError,
301,63906,www.comerxia.com,2023-06-09 01:44:34,1,ConnectionError,
302,63908,www.cometsolutions.com,2023-06-09 01:44:34,1,ConnectionError,
303,63909,www.cometsystems.com,2023-06-09 01:44:34,1,ConnectionError,
304,63914,www.comframe.com,2023-06-09 01:44:34,1,ConnectionError,
305,63924,www.comlets.com,2023-06-09 01:44:34,1,ConnectionError,
306,63929,www.commandaudio.com,2023-06-09 01:44:34,1,ConnectionError,
307,63932,www.commandinformation.com,2023-06-09 01:44:34,1,ConnectionError,
308,63934,www.commence.com,2023-06-09 01:44:34,1,ConnectionError,
309,63940,www.goship.com,2023-06-09 01:44:34,1,ConnectionError,
310,63942,www.commerceone.com,2023-06-09 01:44:34,1,ConnectionError,
311,63944,www.commerce-tv.com,2023-06-09 01:44:35,1,ConnectionError,
312,63945,www.clickequations.com,2023-06-09 01:44:35,1,ConnectionError,
313,63947,www.commercebid.com,2023-06-09 01:44:35,1,ConnectionError,
314,63948,www.commerceflow.com,2023-06-09 01:44:35,1,ConnectionError,
315,63949,www.commercehub.com,2023-06-09 01:44:35,1,ConnectionError,
316,63952,www.commercequest.com,2023-06-09 01:44:35,1,ConnectionError,
317,63953,www.commerceroute.com,2023-06-09 01:44:35,1,ConnectionError,
318,63954,www.commercescout.com,2023-06-09 01:44:35,1,ConnectionError,
319,63962,www.commercialware.com,2023-06-09 01:44:35,1,ConnectionError,
320,63963,www.commerciant.com,2023-06-09 01:44:35,1,ConnectionError,
321,63965,www.commerx.com,2023-06-09 01:44:35,1,ConnectionError,
322,63970,www.cj.com,2023-06-09 01:44:35,1,ConnectionError,
323,63976,www.commnetwireless.com,2023-06-09 01:44:35,1,ConnectionError,
324,63988,www.commonstream.com,2023-06-09 01:44:35,1,ConnectionError,
325,63998,www.commonwealthnet.com,2023-06-09 01:44:35,1,ConnectionError,
326,64001,www.commpartners.us,2023-06-09 01:44:35,1,ConnectionError,
327,64004,www.commquest.com,2023-06-09 01:44:35,1,ConnectionError,
328,64005,www.commsite.com,2023-06-09 01:44:35,1,ConnectionError,
329,64013,www.communicado-inc.com,2023-06-09 01:44:35,1,ConnectionError,
330,64023,www.cbg.com,2023-06-09 01:44:35,1,ConnectionError,
331,64024,www.ccix.com,2023-06-09 01:44:35,1,ConnectionError,
332,64032,www.csti-md.com,2023-06-09 01:44:35,1,ConnectionError,
333,64034,www.communispace.com,2023-06-09 01:44:35,1,ConnectionError,
334,64035,www.solutionreach.com,2023-06-09 01:44:35,1,ConnectionError,
335,64039,www.communitycareinc.com,2023-06-09 01:44:35,1,ConnectionError,
336,64040,www.matrixhealth.com,2023-06-09 01:44:35,1,ConnectionError,
337,64041,www.communityconnect.com,2023-06-09 01:44:35,1,ConnectionError,
338,64043,www.cecintl.com,2023-06-09 01:44:35,1,ConnectionError,
339,64053,www.cos.com,2023-06-09 01:44:35,1,ConnectionError,
340,64055,www.communityphysicians.com,2023-06-09 01:44:35,1,ConnectionError,
341,64056,www.communityrehab.com,2023-06-09 01:44:35,1,ConnectionError,
342,64061,www.commvault.com,2023-06-09 01:44:35,1,ConnectionError,
343,64072,www.cpiequipment.com,2023-06-09 01:44:35,1,ConnectionError,
344,64087,www.comparenet.com,2023-06-09 01:44:35,1,ConnectionError,
345,64089,www.singlefeed.com,2023-06-09 01:44:35,1,ConnectionError,
346,64091,www.comp-as.com,2023-06-09 01:44:35,1,ConnectionError,
347,64103,www.compass-care.com,2023-06-09 01:44:35,1,ConnectionError,
348,64105,www.compassoft.com,2023-06-09 01:44:35,1,ConnectionError,
349,64106,www.compatible.com,2023-06-09 01:44:35,1,ConnectionError,
350,64109,www.compellent.com,2023-06-09 01:44:35,1,ConnectionError,
351,64111,www.competeinc.com,2023-06-09 01:44:35,1,ConnectionError,
352,64115,www.compexlegal.com,2023-06-09 01:44:35,1,ConnectionError,
353,64120,www.completegenomics.com,2023-06-09 01:44:35,1,ConnectionError,
354,64132,www.complexionsrx.com,2023-06-09 01:44:35,1,ConnectionError,
